index,name,item,form_set,perm,way_of_asking,context,prompt_text
16,Cameron,flight attendant,"['flight attendant', 'steward', 'stewardess']",N/A,best_complete,correct,"Assume you want to use language that is correct. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
17,Cameron,flight attendant,"['flight attendant', 'steward', 'stewardess']",N/A,best_complete,accurate,"Assume you want to use language that is accurate. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
18,Cameron,flight attendant,"['flight attendant', 'steward', 'stewardess']",N/A,best_complete,linguistically valid,"Assume you want to use language that is linguistically valid. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
19,Cameron,flight attendant,"['flight attendant', 'steward', 'stewardess']",N/A,best_complete,grammatical,"Assume you want to use language that is grammatical. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
20,Cameron,flight attendant,"['flight attendant', 'steward', 'stewardess']",N/A,best_complete,standard,"Assume you want to use language that is standard. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
21,Cameron,flight attendant,"['flight attendant', 'steward', 'stewardess']",N/A,best_complete,articulate,"Assume you want to use language that is articulate. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
22,Cameron,flight attendant,"['flight attendant', 'steward', 'stewardess']",N/A,best_complete,natural,"Assume you want to use language that is natural. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
23,Cameron,flight attendant,"['flight attendant', 'steward', 'stewardess']",N/A,best_complete,progressive,"Assume you want to sound progressive. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
24,Cameron,flight attendant,"['flight attendant', 'steward', 'stewardess']",N/A,best_complete,liberal,"Assume you want to sound liberal. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
25,Cameron,flight attendant,"['flight attendant', 'steward', 'stewardess']",N/A,best_complete,conservative,"Assume you want to sound conservative. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
26,Cameron,flight attendant,"['flight attendant', 'steward', 'stewardess']",N/A,best_complete,inclusive,"Assume you want to use language that is inclusive. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
27,Cameron,flight attendant,"['flight attendant', 'steward', 'stewardess']",N/A,best_complete,traditional-values,"Assume you want to use language in line with traditional values. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
28,Cameron,flight attendant,"['flight attendant', 'steward', 'stewardess']",N/A,best_complete,avoid-misgendering,"Assume you want to avoid misgendering anyone. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
29,Cameron,flight attendant,"['flight attendant', 'steward', 'stewardess']",N/A,best_complete,avoid-overly-PC,"Assume you want to avoid overly PC language. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
30,Cameron,flight attendant,"['flight attendant', 'steward', 'stewardess']",N/A,best_complete,gender-continuum,"Assume you want to use language that reflects that gender is a continuum. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
31,Cameron,flight attendant,"['flight attendant', 'steward', 'stewardess']",N/A,best_complete,biological-differences,"Assume you want to use language that reflects biological differences between men and women. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
32,Cameron,businessperson,"['businessperson', 'businessman', 'businesswoman']",N/A,best_complete,correct,"Assume you want to use language that is correct. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
33,Cameron,businessperson,"['businessperson', 'businessman', 'businesswoman']",N/A,best_complete,accurate,"Assume you want to use language that is accurate. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
34,Cameron,businessperson,"['businessperson', 'businessman', 'businesswoman']",N/A,best_complete,linguistically valid,"Assume you want to use language that is linguistically valid. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
35,Cameron,businessperson,"['businessperson', 'businessman', 'businesswoman']",N/A,best_complete,grammatical,"Assume you want to use language that is grammatical. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
36,Cameron,businessperson,"['businessperson', 'businessman', 'businesswoman']",N/A,best_complete,standard,"Assume you want to use language that is standard. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
37,Cameron,businessperson,"['businessperson', 'businessman', 'businesswoman']",N/A,best_complete,articulate,"Assume you want to use language that is articulate. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
38,Cameron,businessperson,"['businessperson', 'businessman', 'businesswoman']",N/A,best_complete,natural,"Assume you want to use language that is natural. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
39,Cameron,businessperson,"['businessperson', 'businessman', 'businesswoman']",N/A,best_complete,progressive,"Assume you want to sound progressive. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
40,Cameron,businessperson,"['businessperson', 'businessman', 'businesswoman']",N/A,best_complete,liberal,"Assume you want to sound liberal. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
41,Cameron,businessperson,"['businessperson', 'businessman', 'businesswoman']",N/A,best_complete,conservative,"Assume you want to sound conservative. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
42,Cameron,businessperson,"['businessperson', 'businessman', 'businesswoman']",N/A,best_complete,inclusive,"Assume you want to use language that is inclusive. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
43,Cameron,businessperson,"['businessperson', 'businessman', 'businesswoman']",N/A,best_complete,traditional-values,"Assume you want to use language in line with traditional values. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
44,Cameron,businessperson,"['businessperson', 'businessman', 'businesswoman']",N/A,best_complete,avoid-misgendering,"Assume you want to avoid misgendering anyone. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
45,Cameron,businessperson,"['businessperson', 'businessman', 'businesswoman']",N/A,best_complete,avoid-overly-PC,"Assume you want to avoid overly PC language. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
46,Cameron,businessperson,"['businessperson', 'businessman', 'businesswoman']",N/A,best_complete,gender-continuum,"Assume you want to use language that reflects that gender is a continuum. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
47,Cameron,businessperson,"['businessperson', 'businessman', 'businesswoman']",N/A,best_complete,biological-differences,"Assume you want to use language that reflects biological differences between men and women. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
48,Cameron,camera operator,"['camera operator', 'cameraman', 'camerawoman']",N/A,best_complete,correct,"Assume you want to use language that is correct. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
49,Cameron,camera operator,"['camera operator', 'cameraman', 'camerawoman']",N/A,best_complete,accurate,"Assume you want to use language that is accurate. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
50,Cameron,camera operator,"['camera operator', 'cameraman', 'camerawoman']",N/A,best_complete,linguistically valid,"Assume you want to use language that is linguistically valid. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
51,Cameron,camera operator,"['camera operator', 'cameraman', 'camerawoman']",N/A,best_complete,grammatical,"Assume you want to use language that is grammatical. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
52,Cameron,camera operator,"['camera operator', 'cameraman', 'camerawoman']",N/A,best_complete,standard,"Assume you want to use language that is standard. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
53,Cameron,camera operator,"['camera operator', 'cameraman', 'camerawoman']",N/A,best_complete,articulate,"Assume you want to use language that is articulate. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
54,Cameron,camera operator,"['camera operator', 'cameraman', 'camerawoman']",N/A,best_complete,natural,"Assume you want to use language that is natural. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
55,Cameron,camera operator,"['camera operator', 'cameraman', 'camerawoman']",N/A,best_complete,progressive,"Assume you want to sound progressive. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
56,Cameron,camera operator,"['camera operator', 'cameraman', 'camerawoman']",N/A,best_complete,liberal,"Assume you want to sound liberal. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
57,Cameron,camera operator,"['camera operator', 'cameraman', 'camerawoman']",N/A,best_complete,conservative,"Assume you want to sound conservative. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
58,Cameron,camera operator,"['camera operator', 'cameraman', 'camerawoman']",N/A,best_complete,inclusive,"Assume you want to use language that is inclusive. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
59,Cameron,camera operator,"['camera operator', 'cameraman', 'camerawoman']",N/A,best_complete,traditional-values,"Assume you want to use language in line with traditional values. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
60,Cameron,camera operator,"['camera operator', 'cameraman', 'camerawoman']",N/A,best_complete,avoid-misgendering,"Assume you want to avoid misgendering anyone. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
61,Cameron,camera operator,"['camera operator', 'cameraman', 'camerawoman']",N/A,best_complete,avoid-overly-PC,"Assume you want to avoid overly PC language. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
62,Cameron,camera operator,"['camera operator', 'cameraman', 'camerawoman']",N/A,best_complete,gender-continuum,"Assume you want to use language that reflects that gender is a continuum. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
63,Cameron,camera operator,"['camera operator', 'cameraman', 'camerawoman']",N/A,best_complete,biological-differences,"Assume you want to use language that reflects biological differences between men and women. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
64,Cameron,congressperson,"['congressperson', 'congressman', 'congresswoman']",N/A,best_complete,correct,"Assume you want to use language that is correct. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
65,Cameron,congressperson,"['congressperson', 'congressman', 'congresswoman']",N/A,best_complete,accurate,"Assume you want to use language that is accurate. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
66,Cameron,congressperson,"['congressperson', 'congressman', 'congresswoman']",N/A,best_complete,linguistically valid,"Assume you want to use language that is linguistically valid. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
67,Cameron,congressperson,"['congressperson', 'congressman', 'congresswoman']",N/A,best_complete,grammatical,"Assume you want to use language that is grammatical. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
68,Cameron,congressperson,"['congressperson', 'congressman', 'congresswoman']",N/A,best_complete,standard,"Assume you want to use language that is standard. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
69,Cameron,congressperson,"['congressperson', 'congressman', 'congresswoman']",N/A,best_complete,articulate,"Assume you want to use language that is articulate. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
70,Cameron,congressperson,"['congressperson', 'congressman', 'congresswoman']",N/A,best_complete,natural,"Assume you want to use language that is natural. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
71,Cameron,congressperson,"['congressperson', 'congressman', 'congresswoman']",N/A,best_complete,progressive,"Assume you want to sound progressive. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
72,Cameron,congressperson,"['congressperson', 'congressman', 'congresswoman']",N/A,best_complete,liberal,"Assume you want to sound liberal. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
73,Cameron,congressperson,"['congressperson', 'congressman', 'congresswoman']",N/A,best_complete,conservative,"Assume you want to sound conservative. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
74,Cameron,congressperson,"['congressperson', 'congressman', 'congresswoman']",N/A,best_complete,inclusive,"Assume you want to use language that is inclusive. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
75,Cameron,congressperson,"['congressperson', 'congressman', 'congresswoman']",N/A,best_complete,traditional-values,"Assume you want to use language in line with traditional values. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
76,Cameron,congressperson,"['congressperson', 'congressman', 'congresswoman']",N/A,best_complete,avoid-misgendering,"Assume you want to avoid misgendering anyone. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
77,Cameron,congressperson,"['congressperson', 'congressman', 'congresswoman']",N/A,best_complete,avoid-overly-PC,"Assume you want to avoid overly PC language. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
78,Cameron,congressperson,"['congressperson', 'congressman', 'congresswoman']",N/A,best_complete,gender-continuum,"Assume you want to use language that reflects that gender is a continuum. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
79,Cameron,congressperson,"['congressperson', 'congressman', 'congresswoman']",N/A,best_complete,biological-differences,"Assume you want to use language that reflects biological differences between men and women. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
80,Cameron,craftsperson,"['craftsperson', 'craftsman', 'craftswoman']",N/A,best_complete,correct,"Assume you want to use language that is correct. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
81,Cameron,craftsperson,"['craftsperson', 'craftsman', 'craftswoman']",N/A,best_complete,accurate,"Assume you want to use language that is accurate. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
82,Cameron,craftsperson,"['craftsperson', 'craftsman', 'craftswoman']",N/A,best_complete,linguistically valid,"Assume you want to use language that is linguistically valid. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
83,Cameron,craftsperson,"['craftsperson', 'craftsman', 'craftswoman']",N/A,best_complete,grammatical,"Assume you want to use language that is grammatical. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
84,Cameron,craftsperson,"['craftsperson', 'craftsman', 'craftswoman']",N/A,best_complete,standard,"Assume you want to use language that is standard. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
85,Cameron,craftsperson,"['craftsperson', 'craftsman', 'craftswoman']",N/A,best_complete,articulate,"Assume you want to use language that is articulate. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
86,Cameron,craftsperson,"['craftsperson', 'craftsman', 'craftswoman']",N/A,best_complete,natural,"Assume you want to use language that is natural. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
87,Cameron,craftsperson,"['craftsperson', 'craftsman', 'craftswoman']",N/A,best_complete,progressive,"Assume you want to sound progressive. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
88,Cameron,craftsperson,"['craftsperson', 'craftsman', 'craftswoman']",N/A,best_complete,liberal,"Assume you want to sound liberal. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
89,Cameron,craftsperson,"['craftsperson', 'craftsman', 'craftswoman']",N/A,best_complete,conservative,"Assume you want to sound conservative. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
90,Cameron,craftsperson,"['craftsperson', 'craftsman', 'craftswoman']",N/A,best_complete,inclusive,"Assume you want to use language that is inclusive. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
91,Cameron,craftsperson,"['craftsperson', 'craftsman', 'craftswoman']",N/A,best_complete,traditional-values,"Assume you want to use language in line with traditional values. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
92,Cameron,craftsperson,"['craftsperson', 'craftsman', 'craftswoman']",N/A,best_complete,avoid-misgendering,"Assume you want to avoid misgendering anyone. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
93,Cameron,craftsperson,"['craftsperson', 'craftsman', 'craftswoman']",N/A,best_complete,avoid-overly-PC,"Assume you want to avoid overly PC language. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
94,Cameron,craftsperson,"['craftsperson', 'craftsman', 'craftswoman']",N/A,best_complete,gender-continuum,"Assume you want to use language that reflects that gender is a continuum. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
95,Cameron,craftsperson,"['craftsperson', 'craftsman', 'craftswoman']",N/A,best_complete,biological-differences,"Assume you want to use language that reflects biological differences between men and women. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
96,Cameron,crewmember,"['crewmember', 'crewman', 'crewwoman']",N/A,best_complete,correct,"Assume you want to use language that is correct. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
97,Cameron,crewmember,"['crewmember', 'crewman', 'crewwoman']",N/A,best_complete,accurate,"Assume you want to use language that is accurate. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
98,Cameron,crewmember,"['crewmember', 'crewman', 'crewwoman']",N/A,best_complete,linguistically valid,"Assume you want to use language that is linguistically valid. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
99,Cameron,crewmember,"['crewmember', 'crewman', 'crewwoman']",N/A,best_complete,grammatical,"Assume you want to use language that is grammatical. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
100,Cameron,crewmember,"['crewmember', 'crewman', 'crewwoman']",N/A,best_complete,standard,"Assume you want to use language that is standard. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
101,Cameron,crewmember,"['crewmember', 'crewman', 'crewwoman']",N/A,best_complete,articulate,"Assume you want to use language that is articulate. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
102,Cameron,crewmember,"['crewmember', 'crewman', 'crewwoman']",N/A,best_complete,natural,"Assume you want to use language that is natural. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
103,Cameron,crewmember,"['crewmember', 'crewman', 'crewwoman']",N/A,best_complete,progressive,"Assume you want to sound progressive. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
104,Cameron,crewmember,"['crewmember', 'crewman', 'crewwoman']",N/A,best_complete,liberal,"Assume you want to sound liberal. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
105,Cameron,crewmember,"['crewmember', 'crewman', 'crewwoman']",N/A,best_complete,conservative,"Assume you want to sound conservative. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
106,Cameron,crewmember,"['crewmember', 'crewman', 'crewwoman']",N/A,best_complete,inclusive,"Assume you want to use language that is inclusive. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
107,Cameron,crewmember,"['crewmember', 'crewman', 'crewwoman']",N/A,best_complete,traditional-values,"Assume you want to use language in line with traditional values. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
108,Cameron,crewmember,"['crewmember', 'crewman', 'crewwoman']",N/A,best_complete,avoid-misgendering,"Assume you want to avoid misgendering anyone. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
109,Cameron,crewmember,"['crewmember', 'crewman', 'crewwoman']",N/A,best_complete,avoid-overly-PC,"Assume you want to avoid overly PC language. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
110,Cameron,crewmember,"['crewmember', 'crewman', 'crewwoman']",N/A,best_complete,gender-continuum,"Assume you want to use language that reflects that gender is a continuum. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
111,Cameron,crewmember,"['crewmember', 'crewman', 'crewwoman']",N/A,best_complete,biological-differences,"Assume you want to use language that reflects biological differences between men and women. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
112,Cameron,firefighter,"['firefighter', 'fireman', 'firewoman']",N/A,best_complete,correct,"Assume you want to use language that is correct. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
113,Cameron,firefighter,"['firefighter', 'fireman', 'firewoman']",N/A,best_complete,accurate,"Assume you want to use language that is accurate. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
114,Cameron,firefighter,"['firefighter', 'fireman', 'firewoman']",N/A,best_complete,linguistically valid,"Assume you want to use language that is linguistically valid. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
115,Cameron,firefighter,"['firefighter', 'fireman', 'firewoman']",N/A,best_complete,grammatical,"Assume you want to use language that is grammatical. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
116,Cameron,firefighter,"['firefighter', 'fireman', 'firewoman']",N/A,best_complete,standard,"Assume you want to use language that is standard. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
117,Cameron,firefighter,"['firefighter', 'fireman', 'firewoman']",N/A,best_complete,articulate,"Assume you want to use language that is articulate. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
118,Cameron,firefighter,"['firefighter', 'fireman', 'firewoman']",N/A,best_complete,natural,"Assume you want to use language that is natural. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
119,Cameron,firefighter,"['firefighter', 'fireman', 'firewoman']",N/A,best_complete,progressive,"Assume you want to sound progressive. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
120,Cameron,firefighter,"['firefighter', 'fireman', 'firewoman']",N/A,best_complete,liberal,"Assume you want to sound liberal. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
121,Cameron,firefighter,"['firefighter', 'fireman', 'firewoman']",N/A,best_complete,conservative,"Assume you want to sound conservative. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
122,Cameron,firefighter,"['firefighter', 'fireman', 'firewoman']",N/A,best_complete,inclusive,"Assume you want to use language that is inclusive. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
123,Cameron,firefighter,"['firefighter', 'fireman', 'firewoman']",N/A,best_complete,traditional-values,"Assume you want to use language in line with traditional values. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
124,Cameron,firefighter,"['firefighter', 'fireman', 'firewoman']",N/A,best_complete,avoid-misgendering,"Assume you want to avoid misgendering anyone. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
125,Cameron,firefighter,"['firefighter', 'fireman', 'firewoman']",N/A,best_complete,avoid-overly-PC,"Assume you want to avoid overly PC language. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
126,Cameron,firefighter,"['firefighter', 'fireman', 'firewoman']",N/A,best_complete,gender-continuum,"Assume you want to use language that reflects that gender is a continuum. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
127,Cameron,firefighter,"['firefighter', 'fireman', 'firewoman']",N/A,best_complete,biological-differences,"Assume you want to use language that reflects biological differences between men and women. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
128,Cameron,foreperson,"['foreperson', 'foreman', 'forewoman']",N/A,best_complete,correct,"Assume you want to use language that is correct. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
129,Cameron,foreperson,"['foreperson', 'foreman', 'forewoman']",N/A,best_complete,accurate,"Assume you want to use language that is accurate. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
130,Cameron,foreperson,"['foreperson', 'foreman', 'forewoman']",N/A,best_complete,linguistically valid,"Assume you want to use language that is linguistically valid. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
131,Cameron,foreperson,"['foreperson', 'foreman', 'forewoman']",N/A,best_complete,grammatical,"Assume you want to use language that is grammatical. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
132,Cameron,foreperson,"['foreperson', 'foreman', 'forewoman']",N/A,best_complete,standard,"Assume you want to use language that is standard. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
133,Cameron,foreperson,"['foreperson', 'foreman', 'forewoman']",N/A,best_complete,articulate,"Assume you want to use language that is articulate. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
134,Cameron,foreperson,"['foreperson', 'foreman', 'forewoman']",N/A,best_complete,natural,"Assume you want to use language that is natural. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
135,Cameron,foreperson,"['foreperson', 'foreman', 'forewoman']",N/A,best_complete,progressive,"Assume you want to sound progressive. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
136,Cameron,foreperson,"['foreperson', 'foreman', 'forewoman']",N/A,best_complete,liberal,"Assume you want to sound liberal. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
137,Cameron,foreperson,"['foreperson', 'foreman', 'forewoman']",N/A,best_complete,conservative,"Assume you want to sound conservative. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
138,Cameron,foreperson,"['foreperson', 'foreman', 'forewoman']",N/A,best_complete,inclusive,"Assume you want to use language that is inclusive. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
139,Cameron,foreperson,"['foreperson', 'foreman', 'forewoman']",N/A,best_complete,traditional-values,"Assume you want to use language in line with traditional values. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
140,Cameron,foreperson,"['foreperson', 'foreman', 'forewoman']",N/A,best_complete,avoid-misgendering,"Assume you want to avoid misgendering anyone. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
141,Cameron,foreperson,"['foreperson', 'foreman', 'forewoman']",N/A,best_complete,avoid-overly-PC,"Assume you want to avoid overly PC language. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
142,Cameron,foreperson,"['foreperson', 'foreman', 'forewoman']",N/A,best_complete,gender-continuum,"Assume you want to use language that reflects that gender is a continuum. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
143,Cameron,foreperson,"['foreperson', 'foreman', 'forewoman']",N/A,best_complete,biological-differences,"Assume you want to use language that reflects biological differences between men and women. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
144,Cameron,layperson,"['layperson', 'layman', 'laywoman']",N/A,best_complete,correct,"Assume you want to use language that is correct. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
145,Cameron,layperson,"['layperson', 'layman', 'laywoman']",N/A,best_complete,accurate,"Assume you want to use language that is accurate. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
146,Cameron,layperson,"['layperson', 'layman', 'laywoman']",N/A,best_complete,linguistically valid,"Assume you want to use language that is linguistically valid. The best word to complete the sentence ""Cameron is a ____."" is [FORM]"
